n;Xdown;Xup
1 ; -69.5 ; -69.5
2 ; -70.5 ; -70.0
3 ; -69.5 ; -69.5
4 ; -66.5 ; -67.0
5 ; -68.0 ; -67.5
6 ; -67.0 ; -67.0
7 ; -67.5 ; -67.5
8 ; -66.0 ; -66.0
9 ; -67.5 ; -67.5
10 ; -66.0 ; -66.0
11 ; -69.0 ; -68.5
12 ; -69.5 ; -70.5
13 ; -69.5 ; -70.5
14 ; -69.0 ; -68.0
15 ; -73.0 ; -72.5
16 ; -74.5 ; -74.5
17 ; -75.0 ; -73.5
18 ; -72.0 ; -71.5
19 ; -72.5 ; -71.5
20 ; -69.5 ; -69.5
21 ; -69.5 ; -69.0
22 ; -67.5 ; -67.0
23 ; -70.0 ; -69.5
24 ; -68.0 ; -68.0
25 ; -68.0 ; -67.5
26 ; -67.0 ; -66.5
27 ; -68.0 ; -68.0
28 ; -72.5 ; -72.5
29 ; -79.5 ; -79.5
30 ; -75.0 ; -75.5
31 ; -70.0 ; -69.0
32 ; -72.5 ; -71.5
33 ; -72.5 ; -72.5
34 ; -70.5 ; -70.0
35 ; -71.5 ; -71.0
36 ; -70.5 ; -69.5
37 ; -69.0 ; -69.5
38 ; -71.0 ; -70.5
39 ; -70.5 ; -70.0
40 ; -70.0 ; -70.5
41 ; -70.0 ; -69.0
42 ; -75.0 ; -74.0
43 ; -69.0 ; -69.0
44 ; -71.5 ; -70.5
45 ; -69.0 ; -69.5
46 ; -66.0 ; -65.5
47 ; -65.5 ; -65.5
