n;Xdown;Xup
1 ; -32.0 ; -35.0
2 ; -35.5 ; -36.0
3 ; -33.5 ; -35.0
4 ; -34.5 ; -36.0
5 ; -35.5 ; -38.0
6 ; -35.5 ; -37.5
7 ; -34.0 ; -35.0
8 ; -32.0 ; -33.5
9 ; -32.5 ; -35.0
10 ; -35.5 ; -35.5
11 ; -35.0 ; -37.0
12 ; -36.0 ; -38.0
13 ; -35.5 ; -38.0
14 ; -36.5 ; -38.0
15 ; -37.5 ; -36.5
16 ; -34.5 ; -36.5
17 ; -32.5 ; -35.0
18 ; -32.5 ; -35.0
19 ; -36.0 ; -37.5
20 ; -33.5 ; -35.5
21 ; -35.0 ; -36.5
22 ; -34.5 ; -36.0
23 ; -33.0 ; -35.5
24 ; -33.5 ; -36.0
25 ; -34.0 ; -36.0
26 ; -33.5 ; -36.0
27 ; -34.0 ; -36.0
28 ; -33.5 ; -36.5
29 ; -34.5 ; -36.0
30 ; -34.0 ; -36.5
31 ; -33.5 ; -36.0
32 ; -34.0 ; -35.5
33 ; -33.5 ; -35.5
34 ; -33.5 ; -35.5
35 ; -33.0 ; -35.5
36 ; -33.5 ; -36.0
37 ; -34.0 ; -36.0
38 ; -34.0 ; -36.0
39 ; -34.0 ; -36.0
40 ; -33.0 ; -35.0
41 ; -34.0 ; -36.0
42 ; -35.0 ; -36.5
43 ; -34.5 ; -36.5
44 ; -34.0 ; -35.5
45 ; -33.0 ; -35.0
46 ; -33.0 ; -35.5
47 ; -33.0 ; -35.0
