n;Xdown;Xup
1 ; -37.5 ; -46.5
2 ; -39.0 ; -41.5
3 ; -40.5 ; -41.0
4 ; -39.0 ; -41.5
5 ; -37.0 ; -39.0
6 ; -37.5 ; -41.0
7 ; -38.5 ; -42.5
8 ; -36.0 ; -37.5
9 ; -36.0 ; -32.5
10 ; -36.0 ; -37.5
11 ; -47.5 ; -48.0
12 ; -41.5 ; -43.5
13 ; -33.5 ; -38.0
14 ; -34.5 ; -38.0
15 ; -35.5 ; -36.5
16 ; -36.0 ; -48.5
17 ; -48.5 ; -54.0
18 ; -44.0 ; -50.0
19 ; -33.5 ; -38.0
20 ; -35.5 ; -35.5
21 ; -35.0 ; -39.5
22 ; -33.5 ; -36.5
23 ; -41.5 ; -38.5
24 ; -37.5 ; -37.5
25 ; -36.5 ; -37.0
26 ; -46.0 ; -47.0
27 ; -43.5 ; -43.5
28 ; -37.0 ; -40.5
29 ; -36.5 ; -36.5
30 ; -35.0 ; -37.0
31 ; -36.0 ; -40.0
32 ; -35.5 ; -37.0
33 ; -35.5 ; -38.0
34 ; -35.5 ; -37.5
35 ; -35.5 ; -37.0
36 ; -38.5 ; -40.0
37 ; -48.5 ; -56.0
38 ; -44.5 ; -47.5
39 ; -49.0 ; -49.5
40 ; -57.5 ; -51.0
41 ; -44.0 ; -47.5
42 ; -37.5 ; -39.0
43 ; -40.5 ; -36.0
44 ; -41.5 ; -47.0
45 ; -39.0 ; -40.5
46 ; -38.0 ; -40.5
47 ; -38.5 ; -42.0
