n;Xdown;Xup
1 ; -45.5 ; -46.5
2 ; -41.5 ; -45.5
3 ; -43.0 ; -45.0
4 ; -42.5 ; -42.5
5 ; -44.5 ; -47.0
6 ; -48.0 ; -48.0
7 ; -43.5 ; -50.0
8 ; -42.5 ; -45.5
9 ; -44.0 ; -46.5
10 ; -42.0 ; -44.5
11 ; -37.0 ; -41.0
12 ; -37.0 ; -38.5
13 ; -36.5 ; -38.5
14 ; -36.5 ; -38.0
15 ; -36.5 ; -38.0
16 ; -36.5 ; -38.0
17 ; -35.5 ; -38.0
18 ; -41.5 ; -51.0
19 ; -38.0 ; -39.5
20 ; -37.0 ; -38.5
21 ; -36.0 ; -38.5
22 ; -37.0 ; -38.5
23 ; -35.5 ; -37.0
24 ; -35.0 ; -37.5
25 ; -33.5 ; -36.5
26 ; -36.0 ; -37.0
27 ; -35.0 ; -37.5
28 ; -36.5 ; -38.5
29 ; -36.5 ; -38.5
30 ; -37.5 ; -40.5
31 ; -41.5 ; -43.0
32 ; -36.5 ; -40.0
33 ; -37.5 ; -40.0
34 ; -40.0 ; -43.0
35 ; -38.0 ; -40.5
36 ; -37.5 ; -42.0
37 ; -39.0 ; -40.0
38 ; -37.5 ; -39.0
39 ; -39.0 ; -40.0
40 ; -37.5 ; -39.5
41 ; -39.0 ; -38.5
42 ; -36.0 ; -38.0
43 ; -36.0 ; -38.5
44 ; -35.5 ; -38.5
45 ; -43.0 ; -42.5
46 ; -39.0 ; -45.0
47 ; -45.0 ; -47.0
