n;Xdown;Xup
1 ; -37.0 ; -34.0
2 ; -38.0 ; -35.0
3 ; -37.5 ; -35.0
4 ; -37.5 ; -35.0
5 ; -37.0 ; -35.0
6 ; -37.5 ; -34.5
7 ; -36.5 ; -34.0
8 ; -37.0 ; -35.0
9 ; -37.0 ; -34.5
10 ; -37.5 ; -35.5
11 ; -37.0 ; -35.0
12 ; -36.5 ; -33.5
13 ; -36.5 ; -33.5
14 ; -36.5 ; -33.0
15 ; -36.0 ; -33.0
16 ; -36.5 ; -33.5
17 ; -37.0 ; -34.0
18 ; -36.5 ; -33.5
19 ; -37.0 ; -34.0
20 ; -36.5 ; -33.5
21 ; -37.0 ; -34.5
22 ; -37.0 ; -35.0
23 ; -37.0 ; -34.5
24 ; -36.5 ; -34.0
25 ; -36.5 ; -33.5
26 ; -37.0 ; -33.5
27 ; -36.0 ; -33.0
28 ; -37.5 ; -35.5
29 ; -37.5 ; -35.0
30 ; -38.0 ; -37.5
31 ; -41.5 ; -38.0
32 ; -39.0 ; -36.5
33 ; -39.0 ; -36.5
34 ; -40.0 ; -37.0
35 ; -38.5 ; -36.5
36 ; -41.0 ; -40.0
37 ; -40.0 ; -38.0
38 ; -39.5 ; -37.5
39 ; -38.5 ; -37.5
40 ; -40.0 ; -37.5
41 ; -38.0 ; -37.5
42 ; -44.5 ; -40.0
43 ; -44.0 ; -39.0
44 ; -35.5 ; -33.0
45 ; -36.5 ; -32.5
46 ; -36.5 ; -32.5
47 ; -36.5 ; -33.5
