n;Xdown;Xup
1 ; -38.0 ; -35.0
2 ; -37.0 ; -34.0
3 ; -36.5 ; -34.0
4 ; -37.0 ; -34.5
5 ; -35.5 ; -37.5
6 ; -37.0 ; -33.5
7 ; -37.0 ; -33.0
8 ; -43.5 ; -44.5
9 ; -37.0 ; -36.0
10 ; -41.5 ; -34.5
11 ; -37.0 ; -34.0
12 ; -36.0 ; -33.5
13 ; -38.0 ; -37.0
14 ; -41.0 ; -34.5
15 ; -35.5 ; -32.5
16 ; -40.5 ; -38.0
17 ; -36.5 ; -35.5
18 ; -37.5 ; -35.5
19 ; -38.5 ; -38.0
20 ; -36.5 ; -34.0
21 ; -41.5 ; -38.5
22 ; -40.5 ; -39.0
23 ; -36.5 ; -35.0
24 ; -38.0 ; -35.5
25 ; -45.5 ; -37.0
26 ; -36.5 ; -33.0
27 ; -35.0 ; -34.0
28 ; -37.0 ; -34.5
29 ; -37.0 ; -35.5
30 ; -38.5 ; -33.5
31 ; -43.5 ; -37.5
32 ; -38.5 ; -38.5
33 ; -45.0 ; -43.0
34 ; -41.0 ; -39.0
35 ; -38.5 ; -41.0
36 ; -35.5 ; -38.5
37 ; -44.0 ; -37.0
38 ; -36.0 ; -33.0
39 ; -36.0 ; -33.5
40 ; -36.5 ; -33.5
41 ; -37.0 ; -34.5
42 ; -36.0 ; -33.5
43 ; -36.5 ; -32.5
44 ; -35.5 ; -33.5
45 ; -35.0 ; -32.5
46 ; -37.0 ; -36.5
47 ; -47.5 ; -45.0
