n;Xdown;Xup
1 ; -32.5 ; -35.5
2 ; -32.0 ; -34.5
3 ; -32.5 ; -35.0
4 ; -32.5 ; -35.0
5 ; -32.5 ; -35.0
6 ; -32.5 ; -35.5
7 ; -32.5 ; -35.5
8 ; -32.5 ; -35.5
9 ; -32.5 ; -35.5
10 ; -32.5 ; -35.0
11 ; -32.5 ; -35.0
12 ; -32.0 ; -34.5
13 ; -32.0 ; -34.5
14 ; -32.0 ; -34.5
15 ; -32.5 ; -35.0
16 ; -32.0 ; -34.5
17 ; -33.0 ; -35.5
18 ; -32.5 ; -35.5
19 ; -32.5 ; -35.0
20 ; -32.5 ; -35.5
21 ; -32.5 ; -35.5
22 ; -32.5 ; -35.0
23 ; -32.5 ; -35.5
24 ; -32.5 ; -35.0
25 ; -32.5 ; -35.5
26 ; -32.5 ; -35.0
27 ; -32.5 ; -35.5
28 ; -32.5 ; -35.5
29 ; -33.0 ; -35.5
30 ; -32.5 ; -35.5
31 ; -33.0 ; -35.5
32 ; -32.5 ; -35.5
33 ; -32.5 ; -35.5
34 ; -32.5 ; -35.5
35 ; -32.5 ; -35.5
36 ; -32.5 ; -35.5
37 ; -32.5 ; -35.5
38 ; -32.5 ; -35.5
39 ; -32.5 ; -35.5
40 ; -32.5 ; -35.5
41 ; -32.5 ; -35.5
42 ; -32.5 ; -35.5
43 ; -33.0 ; -35.5
44 ; -32.5 ; -35.5
45 ; -32.5 ; -35.5
46 ; -32.5 ; -35.5
47 ; -33.0 ; -35.5
