n;Xdown;Xup
1 ; -32.0 ; -35.0
2 ; -32.5 ; -35.0
3 ; -33.0 ; -34.5
4 ; -32.5 ; -34.5
5 ; -32.5 ; -34.5
6 ; -32.5 ; -35.5
7 ; -32.5 ; -35.0
8 ; -32.5 ; -35.5
9 ; -32.5 ; -35.0
10 ; -33.0 ; -35.0
11 ; -32.5 ; -34.5
12 ; -32.5 ; -35.5
13 ; -32.5 ; -35.5
14 ; -32.5 ; -35.5
15 ; -32.5 ; -35.5
16 ; -32.5 ; -35.5
17 ; -32.5 ; -35.5
18 ; -32.5 ; -34.5
19 ; -32.5 ; -35.0
20 ; -33.0 ; -36.0
21 ; -34.0 ; -36.5
22 ; -32.5 ; -35.0
23 ; -33.5 ; -36.0
24 ; -32.0 ; -35.0
25 ; -37.0 ; -40.0
26 ; -36.0 ; -39.0
27 ; -38.5 ; -40.0
28 ; -36.5 ; -39.5
29 ; -32.5 ; -34.5
30 ; -31.0 ; -33.5
31 ; -32.0 ; -33.0
32 ; -31.5 ; -34.0
33 ; -32.5 ; -35.0
34 ; -32.5 ; -38.0
35 ; -35.0 ; -37.0
36 ; -33.0 ; -36.0
37 ; -33.5 ; -36.5
38 ; -32.5 ; -35.0
39 ; -32.5 ; -36.5
40 ; -33.5 ; -35.5
41 ; -33.0 ; -35.5
42 ; -33.0 ; -35.5
43 ; -35.0 ; -37.0
44 ; -33.0 ; -36.5
45 ; -36.5 ; -38.5
46 ; -36.5 ; -39.5
47 ; -35.5 ; -38.5
