n;Xdown;Xup
1 ; -32.5 ; -35.5
2 ; -32.0 ; -34.5
3 ; -32.5 ; -35.0
4 ; -32.5 ; -35.0
5 ; -32.0 ; -34.0
6 ; -32.5 ; -34.5
7 ; -32.5 ; -35.5
8 ; -32.5 ; -35.5
9 ; -32.5 ; -35.5
10 ; -32.5 ; -35.0
11 ; -32.0 ; -34.5
12 ; -32.5 ; -34.5
13 ; -33.0 ; -35.5
14 ; -32.5 ; -35.0
15 ; -33.0 ; -35.5
16 ; -32.5 ; -35.5
17 ; -32.5 ; -35.0
18 ; -32.5 ; -35.0
19 ; -32.5 ; -35.0
20 ; -32.5 ; -35.5
21 ; -34.5 ; -37.0
22 ; -32.5 ; -35.5
23 ; -33.5 ; -36.5
24 ; -33.0 ; -35.5
25 ; -36.5 ; -38.5
26 ; -38.0 ; -40.0
27 ; -37.5 ; -39.5
28 ; -34.5 ; -37.5
29 ; -32.0 ; -34.0
30 ; -31.0 ; -33.0
31 ; -31.5 ; -33.0
32 ; -32.5 ; -35.0
33 ; -32.5 ; -34.5
34 ; -35.0 ; -37.5
35 ; -35.0 ; -37.5
36 ; -33.0 ; -35.5
37 ; -33.0 ; -36.5
38 ; -32.5 ; -35.5
39 ; -33.5 ; -36.5
40 ; -32.5 ; -36.0
41 ; -33.5 ; -35.5
42 ; -33.5 ; -36.0
43 ; -34.5 ; -37.5
44 ; -36.5 ; -38.5
45 ; -36.5 ; -38.5
46 ; -37.0 ; -39.0
47 ; -36.5 ; -38.5
