n;Xdown;Xup
1 ; -32.0 ; -34.5
2 ; -32.5 ; -35.0
3 ; -32.5 ; -35.5
4 ; -32.5 ; -35.0
5 ; -32.0 ; -34.5
6 ; -32.5 ; -35.5
7 ; -32.5 ; -35.0
8 ; -33.0 ; -35.5
9 ; -32.5 ; -35.5
10 ; -32.5 ; -35.5
11 ; -32.0 ; -34.5
12 ; -32.0 ; -34.5
13 ; -32.0 ; -34.5
14 ; -32.5 ; -34.5
15 ; -32.0 ; -33.5
16 ; -32.5 ; -34.5
17 ; -32.5 ; -35.0
18 ; -32.0 ; -35.5
19 ; -32.5 ; -35.0
20 ; -32.5 ; -35.0
21 ; -32.5 ; -35.0
22 ; -32.5 ; -35.5
23 ; -32.5 ; -35.5
24 ; -32.5 ; -35.0
25 ; -32.5 ; -35.5
26 ; -32.5 ; -35.5
27 ; -32.5 ; -35.5
28 ; -32.5 ; -35.5
29 ; -32.5 ; -35.5
30 ; -32.5 ; -35.5
31 ; -33.0 ; -35.5
32 ; -33.0 ; -35.5
33 ; -32.5 ; -35.5
34 ; -32.5 ; -35.0
35 ; -32.5 ; -35.0
36 ; -32.5 ; -35.5
37 ; -32.5 ; -35.5
38 ; -33.0 ; -35.5
39 ; -32.5 ; -35.5
40 ; -32.5 ; -35.5
41 ; -32.5 ; -35.5
42 ; -32.5 ; -35.5
43 ; -33.0 ; -36.0
44 ; -32.5 ; -35.5
45 ; -32.5 ; -35.5
46 ; -33.0 ; -35.5
47 ; -33.0 ; -35.5
