n;Xdown;Xup
1 ; -35.0 ; -38.0
2 ; -34.0 ; -36.5
3 ; -33.5 ; -37.0
4 ; -33.5 ; -36.5
5 ; -32.5 ; -35.5
6 ; -35.5 ; -38.5
7 ; -43.0 ; -47.5
8 ; -40.0 ; -42.5
9 ; -41.5 ; -41.5
10 ; -33.0 ; -37.0
11 ; -35.0 ; -38.0
12 ; -40.0 ; -42.0
13 ; -32.0 ; -35.0
14 ; -34.0 ; -37.0
15 ; -38.5 ; -42.5
16 ; -38.0 ; -42.0
17 ; -35.0 ; -38.0
18 ; -40.5 ; -41.5
19 ; -37.0 ; -39.0
20 ; -34.5 ; -37.5
21 ; -31.5 ; -33.5
22 ; -33.0 ; -34.5
23 ; -37.5 ; -39.0
24 ; -34.0 ; -37.0
25 ; -33.0 ; -38.0
26 ; -32.5 ; -35.5
27 ; -34.5 ; -37.5
28 ; -35.0 ; -38.5
29 ; -34.0 ; -36.5
30 ; -36.5 ; -39.0
31 ; -33.5 ; -37.5
32 ; -34.0 ; -36.5
33 ; -33.0 ; -36.0
34 ; -34.0 ; -37.0
35 ; -36.5 ; -38.5
36 ; -38.0 ; -40.5
37 ; -32.0 ; -34.5
38 ; -33.0 ; -36.0
39 ; -32.5 ; -35.0
40 ; -38.5 ; -41.0
41 ; -39.5 ; -43.5
42 ; -36.5 ; -38.5
43 ; -33.5 ; -37.5
44 ; -42.5 ; -44.5
45 ; -40.5 ; -41.5
46 ; -40.0 ; -43.0
47 ; -41.5 ; -44.5
